Serial Number,Company Name,Employee Markme,Description,Leave
9.78819E+12,TALES OF SHIVA,Mark,mark,0
9.7801E+12,1Q84 THE COMPLETE TRILOGY,HARUKI MURAKAMI,Mark,0
9.7802E+12,MY KUMAN,Mark,Mark,0
9.78001E+12,THE GOD OF SMAAL THINGS,ARUNDHATI ROY,4TH HARPER COLLINS,2
9.78055E+12,THE BLACK CIRCLE,Mark,4TH HARPER COLLINS,0
9.78813E+12,THE THREE LAWS OF PERFORMANCE,Mark,4TH HARPER COLLINS,0
9.78938E+12,CHAMarkKYA MANTRA,Mark,4TH HARPER COLLINS,0
9.78818E+12,59.FLAGS,Mark,4TH HARPER COLLINS,0
9.78074E+12,THE POWER OF POSITIVE THINKING FROM,Mark,A & A PUBLISHER,0
9.78938E+12,YOU CAN IF YO THINK YO CAN,PEALE,A & A PUBLISHER,0
9.78818E+12,DONGRI SE DUBAI TAK (MPH),Mark,A & A PUBLISHER,0
